"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE ","CA 
"
"MOTHERSON","123.80","123.80","117.85","125.45","120.65","-3.83","46,33,23,045","56,12,23,20,440.85","11-Aug-2023"
"IDEA","14.35","14.40","13.80","14.35","14.15","-1.39","38,07,43,524","5,35,32,53,947.44","07-Jul-2023"
"YESBANK","24.50","24.50","23.50","24.50","23.60","-3.67","31,06,25,402","7,39,59,90,821.62","03-Jun-2019"
"NHPC","93.60","95.50","90.80","92.45","91.50","-1.03","12,01,74,834","11,11,73,73,893.34","22-Feb-2024"
"ZOMATO","164.40","164.40","157.50","165.85","161.70","-2.50","9,56,21,548","15,39,50,69,228.00",
"INFIBEAM","37.20","38.90","36.55","37.05","37.80","2.02","9,08,08,921","3,44,07,50,016.69","18-Sep-2023"
"JMFINANCIL","78.95","87.15","76.40","95.45","85.50","-10.42","8,88,01,484","7,21,60,08,589.84","19-May-2023"
"PNB","129.60","130.70","125.60","129.70","130.30","0.46","8,29,89,654","10,69,57,06,607.52","23-Jun-2023"
"BHEL","270.70","272.00","249.60","265.80","255.05","-4.04","8,18,12,288","21,01,75,76,787.20","11-Aug-2023"
"GTLINFRA","1.85","1.90","1.80","1.90","1.80","-5.26","6,76,73,573","12,24,89,167.13","21-Sep-2015"
"SAIL","139.80","142.00","133.20","140.25","138.80","-1.03","6,09,77,883","8,36,00,67,759.30","20-Feb-2024"
"JIOFIN","322.95","333.90","321.35","321.70","326.90","1.62","5,37,17,380","17,59,56,64,992.80",
"BCG","19.00","19.90","18.35","18.15","18.50","1.93","5,30,62,862","99,81,12,434.22","22-Sep-2022"
"MAHABANK","63.80","64.45","61.25","63.60","62.20","-2.20","5,29,53,313","3,32,22,90,857.62","23-May-2023"
"TATASTEEL","151.80","152.65","147.90","151.85","151.75","-0.07","5,17,82,444","7,76,06,34,882.28","22-Jun-2023"
"SOUTHBANK","31.00","31.15","30.00","32.10","30.30","-5.61","4,64,77,257","1,41,61,62,020.79","27-Feb-2024"
"IDFCFIRSTB","81.40","82.10","80.10","81.55","81.85","0.37","4,30,84,290","3,49,28,43,390.30","23-Jul-2018"
"JPASSOCIAT","17.90","18.65","17.25","17.80","18.65","4.78","4,24,53,770","77,09,60,463.20","27-Sep-2023"
"IBREALEST","107.95","114.50","102.70","117.80","106.50","-9.59","4,09,11,516","4,40,45,33,812.56","25-Sep-2023"
"DISHTV","20.40","20.45","19.25","20.40","19.55","-4.17","3,95,59,613","77,81,37,587.71","05-Nov-2018"
